composite_score,decision,delta_vs_random_AULC,is_baseline,max_overlap_with_recommended,mean_diversity,mean_holdout_AULC_F1_by_labeled_count,mean_holdout_AULC_by_round,mean_labels_to_f1_084,mean_labels_to_f1_086,mean_overlap_to_nonrandom,mean_rank,passes_random_AULC_floor,practical_cost,practical_note,random_floor_AULC,random_floor_status,recommendation_eligibility,role,score_diversity,score_holdout_AULC,score_labels_to_target,score_nonredundancy,score_rank,seed_10_cumulative_positives_discovered,seed_10_holdout_mean_AULC_F1_by_labeled_count,seed_10_holdout_mean_AULC_by_round,seed_10_holdout_mean_final_Brier,seed_10_holdout_mean_final_ECE_10,seed_10_holdout_mean_final_F1,seed_10_holdout_mean_final_PR_AUC,seed_10_holdout_mean_final_ROC_AUC,seed_10_labels_to_f1_080,seed_10_labels_to_f1_084,seed_10_labels_to_f1_086,seed_10_mean_pairwise_normalized_edit_distance,seed_10_mean_rank,seed_10_near_duplicate_pair_count,seed_10_positive_rate_among_selected,seed_10_rank_std,seed_10_validation_mean_AULC_F1_by_labeled_count,seed_10_validation_mean_AULC_by_round,seed_10_validation_mean_final_F1,seed_10_win_count_vs_random,seed_10_worst_fold_AULC_F1_by_labeled_count,seed_10_worst_fold_rank,seed_40_cumulative_positives_discovered,seed_40_holdout_mean_AULC_F1_by_labeled_count,seed_40_holdout_mean_AULC_by_round,seed_40_holdout_mean_final_Brier,seed_40_holdout_mean_final_ECE_10,seed_40_holdout_mean_final_F1,seed_40_holdout_mean_final_PR_AUC,seed_40_holdout_mean_final_ROC_AUC,seed_40_labels_to_f1_080,seed_40_labels_to_f1_084,seed_40_labels_to_f1_086,seed_40_mean_pairwise_normalized_edit_distance,seed_40_mean_rank,seed_40_near_duplicate_pair_count,seed_40_positive_rate_among_selected,seed_40_rank_std,seed_40_validation_mean_AULC_F1_by_labeled_count,seed_40_validation_mean_AULC_by_round,seed_40_validation_mean_final_F1,seed_40_win_count_vs_random,seed_40_worst_fold_AULC_F1_by_labeled_count,seed_40_worst_fold_rank,seed_size_consistency_delta_AULC,strategy
0.8415660384563363,recommended,0.019520369339841248,no,0.5389656875394797,0.8613796549534334,0.828115839768806,0.828115839768806,53.5,126.5,0.31831535640313474,3.6999999999999997,yes,medium,AP_SP ensemble predictive uncertainty,0.8085954704289647,meaningfully better than random,eligible,best replay/sample efficiency,0.0,1.0,1.0,0.9156603845633627,1.0,285.0,0.8283519092267155,0.8283519092267155,0.1406258525775039,0.09401435664359481,0.8462900684859844,0.9216596312818496,0.857483436853002,21.0,35.0,111.0,0.8638936452393019,2.8,424.0,0.57,3.03315017762062,0.8767467293017498,0.87674672930175,0.8955764405694386,3,0.8043161093184971,8.0,276.0,0.8278797703108965,0.8278797703108964,0.1449471982395769,0.09806658529598784,0.8238866867919012,0.918882167674556,0.85351685891748,44.0,72.0,142.0,0.858865664667565,4.6,519.0,0.552,3.7815340802378072,0.8860088197773711,0.8860088197773711,0.8929284929676606,1,0.8230400577551323,10.0,0.00047213891581898704,predictive_entropy
0.794974927754683,recommended,0.011123411987248977,no,0.5389656875394797,0.8701911950172619,0.8197188824162137,0.8197188824162138,86.5,126.5,0.3099784457506873,4.2,yes,high,family committee required,0.8085954704289647,meaningfully better than random,eligible,model/committee uncertainty,0.19999980411338344,0.6938059999851952,1.0,1.0,0.8809523809523809,237.0,0.8104577685120242,0.8104577685120244,0.14690148719290613,0.09575543654592267,0.8505852212105977,0.9057088189987791,0.842949866903283,21.0,111.0,112.0,0.8778957581772694,4.8,319.0,0.474,1.3038404810405297,0.8677267244426512,0.8677267244426512,0.8943552147068745,4,0.7731464716279642,6.0,268.0,0.8289799963204032,0.8289799963204032,0.14137744515570086,0.09461281745469731,0.8402018109000922,0.9209082090474088,0.855896480331263,45.0,62.0,141.0,0.8624866318572545,3.6,456.0,0.536,0.8944271909999159,0.882028974402304,0.8820289744023038,0.8972623106679428,2,0.8150170654431703,5.0,0.018522227808378977,family_qbc
0.7239807004338694,recommended,0.006268746607499209,no,0.38528836174732256,0.8979021808109853,0.814864217036464,0.8148642170364638,96.0,126.5,0.394518181087414,4.699999999999999,yes,medium,candidate clustering/diversity bookkeeping,0.8085954704289647,meaningfully better than random,eligible,diversity/novelty for CG-MD slate,0.8289695063887164,0.5167812338774959,1.0,0.14476128332724025,0.7619047619047621,351.0,0.8057953271270379,0.8057953271270379,0.15424262673669908,0.0945480273836084,0.8542987202618384,0.9085578308095805,0.8322585034013606,22.0,111.0,112.0,0.8982966206034639,5.6,153.0,0.702,3.847076812334269,0.8654426163926795,0.8654426163926793,0.8774998135779191,4,0.7567497480554423,9.0,356.0,0.82393310694589,0.8239331069458897,0.14245781837160293,0.10292528804423126,0.8324361134213352,0.9160607552307451,0.8502528837622005,45.0,81.0,141.0,0.8975077410185065,3.8,184.0,0.712,2.7748873851023217,0.8788397056072516,0.8788397056072516,0.8879407207477383,2,0.7880472218498877,7.0,0.018137779818852007,cluster_diverse_representative
0.5963993145236204,backup,0.01167814196166439,no,0.4922070107793496,0.8840169232036121,0.8202736123906291,0.8202736123906292,95.5,127.5,0.3896351551127178,4.4,yes,medium,AP_SP ensemble mutual information,0.8085954704289647,meaningfully better than random,eligible,model/uncertainty,0.5138090711614738,0.714034159145957,0.5,0.19415998148314373,0.8333333333333333,319.0,0.8144941607076982,0.8144941607076982,0.1567877767524388,0.1265580272381881,0.8362174575836192,0.9048022892010561,0.8291223010943508,16.0,111.0,112.0,0.8989222576544759,5.0,150.0,0.638,3.082207001484488,0.8707043289199765,0.8707043289199765,0.8942467348066094,3,0.7972918236419,10.0,310.0,0.82605306407356,0.8260530640735603,0.14304774417295385,0.11067779233647193,0.8242486806039248,0.9218440265857103,0.8528719313812481,44.0,80.0,143.0,0.8691115887527485,3.8,473.0,0.62,3.63318042491699,0.882931324593612,0.882931324593612,0.8931196074216669,1,0.8000073871882831,10.0,0.01155890336586185,ensemble_mi
0.5528867563195907,rejected,0.0036581474879970877,no,0.4979377477699833,0.9054373984241877,0.8122536179169618,0.8122536179169619,127.0,127.5,0.4007331829087984,5.6,yes,medium-high,embedding/logdet diversity calculation,0.8085954704289647,meaningfully better than random,eligible,diversity/novelty,1.0,0.42158606338056454,0.5,0.08188776993536051,0.5476190476190477,341.0,0.8050143311063771,0.8050143311063772,0.1567771587689417,0.09046558570815551,0.8368594815740182,0.9018057220006443,0.8222700384501627,17.0,112.0,113.0,0.9050225615933212,5.8,58.0,0.682,2.9495762407505253,0.8580712609770178,0.8580712609770178,0.8881447223936444,3,0.7629936794671148,10.0,332.0,0.8194929047275465,0.8194929047275465,0.14844263056443663,0.0990647941355858,0.8259079902053827,0.9182644822276712,0.8457021591245194,46.0,142.0,142.0,0.9058522352550541,5.4,62.0,0.664,2.5099800796022267,0.8787424244998858,0.8787424244998858,0.8913891346500377,2,0.7917320575287888,9.0,0.014478573621169444,oed_logdet
0.5503095799845312,rejected,0.005946318734737832,no,0.5234551109162585,0.895361115661196,0.8145417891637026,0.8145417891637026,95.0,127.5,0.4088277303874049,5.3,yes,medium-high,uncertainty plus diversity bookkeeping,0.8085954704289647,meaningfully better than random,eligible,diversity/novelty,0.7712937166271274,0.5050239418094835,0.5,0.0,0.6190476190476191,331.0,0.8126043027795109,0.8126043027795109,0.1502611136635413,0.10437095195325094,0.8372193492781728,0.9129317071978814,0.8383911564625851,14.0,49.0,112.0,0.8979740389735242,4.6,114.0,0.662,1.949358868961793,0.8628989184727665,0.8628989184727665,0.9011765293463438,3,0.7772185924993282,7.0,333.0,0.8164792755478942,0.8164792755478942,0.15003253057030297,0.11649585120671198,0.8384357288876048,0.9170449532762485,0.8367227151730259,42.0,141.0,143.0,0.8927481923488677,6.0,184.0,0.666,2.0,0.8831148886808424,0.8831148886808424,0.9011805011419902,2,0.7992773265494278,8.0,0.0038749727683833335,hybrid_mi_diverse
0.28182760948579416,exploratory/control,-0.0016894176900511537,no,0.30394602764675643,0.8718278839403859,0.8069060527389136,0.8069060527389137,127.0,128.0,0.3839533978519773,6.800000000000001,no,medium,AP_SP ensemble plus sequence-similarity penalty,0.8085954704289647,below random,exploratory/control,diversity/novelty,0.2371485274521174,0.22658776775375816,0.25,0.2516389736844692,0.26190476190476186,436.0,0.8000348043378247,0.8000348043378247,0.1678745475306214,0.09880795868243941,0.8303061842327096,0.8952717544758555,0.8050739426205265,41.0,112.0,113.0,0.8707820586591872,7.2,345.0,0.872,3.5637059362410923,0.8442819725758557,0.8442819725758557,0.8602434091888064,2,0.7616376773427947,10.0,439.0,0.8137773011400025,0.8137773011400027,0.15572957237482482,0.10063897937099667,0.8070273398191109,0.9070426186336199,0.8246841171251109,43.0,142.0,143.0,0.8728737092215846,6.4,249.0,0.878,2.6076809620810595,0.8713253960267444,0.8713253960267444,0.8744426899957245,2,0.7865963689574577,9.0,0.013742496802177762,similarity_penalized_mean
0.21392465166863064,exploratory/control,-0.0007851597049496339,no,0.31614822615448157,0.8734711826134363,0.8078103107240151,0.8078103107240152,127.0,128.5,0.38434453647458433,6.3,no,medium,AP_SP ensemble mean/std acquisition,0.8085954704289647,below random,exploratory/control,model/uncertainty,0.2744472754949258,0.2595614221237051,0.0,0.24768205458237846,0.38095238095238104,446.0,0.8000982326424367,0.8000982326424368,0.18147855685038825,0.11489915887433737,0.7975555338792257,0.8755643227529053,0.7692187222715173,111.0,112.0,114.0,0.8732661605088091,6.6,251.0,0.892,3.7815340802378072,0.8432635363209673,0.843263536320967,0.8481818969851425,1,0.7777461138716102,10.0,438.0,0.8155223888055936,0.8155223888055936,0.15206482862958698,0.10904245828573608,0.832639678770804,0.9097552203189331,0.8297994676131321,43.0,142.0,143.0,0.8736762047180633,6.0,241.0,0.876,2.5495097567963922,0.8722149159620395,0.8722149159620394,0.862220285733272,2,0.7879220070058147,8.0,0.015424156163156844,ucb
0.05446088732850389,exploratory/control,-0.007903281522638972,no,0.2893232123490172,0.8675751362548003,0.8006921889063258,0.8006921889063258,127.5,128.5,0.3758440864608734,7.9,no,medium,AP_SP ensemble; mature but exploitative,0.8085954704289647,below random,exploratory/control,best replay/sample efficiency,0.14062184790465987,0.0,0.0,0.33367610142804904,0.0,432.0,0.7949475477943734,0.7949475477943734,0.16691272175161523,0.09297096610102855,0.8248532667285009,0.8925792646619959,0.8039194025436261,25.0,112.0,113.0,0.8647204534125297,7.2,339.0,0.864,2.16794833886788,0.8500036882891255,0.8500036882891253,0.8687467246491292,2,0.7300672691247212,10.0,439.0,0.8064368300182782,0.8064368300182782,0.15680803265916432,0.10374870982206966,0.8245597152909294,0.9057517484337924,0.8228146997929606,42.0,143.0,144.0,0.8704298190970708,8.6,258.0,0.878,1.51657508881031,0.8683911218105129,0.8683911218105129,0.8675485872329487,2,0.7830565480674724,10.0,0.011489282223904773,ensemble_mean
,baseline/control,0.0,yes,0.3157144439048179,0.872040960667686,0.8085954704289647,0.8085954704289648,82.0,128.0,0.31436256955014175,6.1,no,low,baseline/control only,0.8085954704289647,baseline/control,baseline/control,baseline/control,,,,,,336.0,0.8063996704615409,0.806399670461541,0.15554283374387026,0.09537032815498185,0.82223819684346,0.9010761893799437,0.8255014788524105,27.0,62.0,113.0,0.8705454072893858,5.4,468.0,0.672,1.949358868961793,0.8639969683347143,0.8639969683347145,0.8842335317773914,0,0.7675742682350597,8.0,342.0,0.8107912703963885,0.8107912703963885,0.1536697693339893,0.09887854955166797,0.8312711692132438,0.8999017566129444,0.8297011239278319,47.0,102.0,143.0,0.8735365140459863,6.8,486.0,0.684,3.5637059362410923,0.880720304674068,0.8807203046740681,0.8837815262301154,0,0.7775494481460998,10.0,0.004391599934847612,random
